#OTU ID	mgm4454167	mgm4454183	mgm4623131	mgm4623132	mgm4623133	mgm4685222	mgm4685223	mgm4685224
Kiritimatiellota	0.0	0.0	1.20003532904009e-05	3.91147840100253e-05	3.48866036926357e-05	5.07549435315e-06	9.39241332083289e-06	9.57959928536189e-06
Thermodesulfobacteriota	0.0026486168334314	0.0054985078835444	0.0540107100753046	0.251376188484086	0.351179686792526	0.0005019905605472	0.0005328059920181	0.000573578507211
Nitrospirota	0.0	0.0006226942688629	0.0002397670587422	0.0005964073257147	0.0007073815599804	0.000101509887063	0.000118685950145	9.34010930322785e-05
Campylobacterota	0.0020600353148911	0.0011866437953803	0.169164180193465	0.128104270328605	0.178491740782143	0.0152866639210659	0.0114220284538892	0.0103136360806027
Bacteroidota	0.0079458505002942	0.0203374298000329	0.237676357191956	0.259126131022606	0.123083649168437	0.409617530080763	0.328372431388421	0.278252633192354
Ignavibacteriota	0.0	0.0002702258147895	0.0006732198195914	0.0011078796918649	0.0008925774668169	0.0001471893362413	0.0001357630652738	0.0001424965393697
Chlorobiota	0.0	8.22426392837841e-05	0.0002373669880841	0.0005498421066552	0.0005544743182638	4.03622646179071e-05	2.98849514753774e-05	3.59234973201071e-05
Balneolota	0.0	0.0	9.84028969812871e-06	1.97436528812509e-05	1.67010336826447e-05	4.83380414585714e-06	2.56156726931806e-06	4.78979964268095e-06
Gemmatimonadota	0.0	0.0001409873816293	6.00017664520043e-06	4.32125232872661e-05	1.78144359281544e-05	1.35346516084e-05	1.79309708852264e-05	2.99362477667559e-05
candidate.division.Zixibacteria	0.0	2.3497896938224e-05	1.46404310142891e-05	2.45864356634445e-05	3.15463969561067e-05	6.7673258042e-06	6.83084605151483e-06	4.78979964268095e-06
Candidatus.Marinimicrobia	0.0	8.22426392837841e-05	7.65622539927575e-05	0.0002294733995254	0.0002230515831837	8.70084746254285e-06	9.39241332083289e-06	1.79617486600536e-05
Candidatus.Hydrogenedentes	0.0	0.0	2.40007065808017e-07	1.49008700990573e-06	7.42268163673099e-07	1.20845103646429e-06	0.0	0.0
Fibrobacterota	0.0	0.0	1.92005652646414e-06	5.9603480396229e-06	1.03917542914234e-05	4.10873352397857e-06	8.53855756439353e-06	1.19744991067024e-05
Candidatus.Cloacimonetes	0.0	1.1748948469112e-05	1.75205158039853e-05	4.28400015347896e-05	4.60206261477322e-05	2.90028248751428e-06	2.56156726931806e-06	1.19744991067024e-06
Elusimicrobiota	0.0	0.0002349789693822	0.0001720850661843	0.0004757102779124	0.000603835151148	6.259776368885e-05	7.85547295924205e-05	9.69934427642892e-05
Acidobacteriota	0.0	0.0009634137744671	0.0001401641264318	0.0003032327065158	0.0006179382462578	0.0001070687618307	0.0001408861998124	0.0001544710384764
